"Product_ID","SKU","Product URL","retail_price","price","thumbnail_url","Search keywords","Description","Category","Category ID","Brand","Child SKU","Child Price","Color Swatches","Size","Review Avg","Review Count","Style","name","wam_price","*wam.facet"
"001501/","001501/","https://devwam.fdm4.com/B2C/product/001501//Red-Bib-Apron-w-Card-Pkt.html","4.26","4.26","https://devwam.fdm4.com/prodimg/large/001501_3.jpg","001501/  01501/  1501/  501/ , Red Bib Apron w Card Pkt , YORK , Red Bib Apron w Card Pkt , L , XS-XL , RED , Red , Colors","Red Bib Apron w Card Pktqqqq","YORKBrand|0 - 10Price|Activewear TG7Category|RedColor","YORKBrand|10Price|ACategory|RedColor","YORK","001501/ RED L","4.26","[{""color"":""RED"",""family"":""RED"",""swatch_hex"":""#FF0000"",""swatch"":""https://devwam.fdm4.com//fdm4dev2.fdm4.com/prodimg/swatch/001501RD_1.jpg"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/001501RD_1.jpg"",""price"":4.97}]","L SAMPLE","","0","","","4.26","Red"
"0029","0029","https://devwam.fdm4.com/B2C/product/0029/IZOD-Mens-GraphCheckSportShirt.html","4.99","4.99","https://devwam.fdm4.com/prodimg/large/0029.png","0029  029  29  9 , IZOD Mens GraphCheckSportShirt , Product Category 4 , IZOD , IZOD Mens GraphCheckSportShirt , S , M , L , XL , 2XL , 3XL , S to XL , 2545 , S to XL , S to XL , 6 , 10 , EVENING BLUE , DARKS","IZOD Mens GraphCheckSportShirt","IZODBrand|0 - 10Price|Product Category 4Category","IBrand|10Price|PC4Category","IZOD","0028 EVENING BLUE S|0028 EVENING BLUE M|0028 EVENING BLUE L|0028 EVENING BLUE XL|0028 EVENING BLUE 2XL|0028 EVENING BLUE 3XL","4.99","[{""color"":""EVENING BLUE"",""family"":"""",""swatch_hex"":""#656887"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0029.png"",""price"":5.74}]","S|M|L|XL|2XL|3XL","","0","","","4.99",""
"003203/","003203/","https://devwam.fdm4.com/B2C/product/003203//BlkWhtStrp-BibApron-Pkts.html","4.86","4.86","https://devwam.fdm4.com/prodimg/large/003203_2.jpg","003203/  03203/  3203/  203/ , Blk WhtStrp BibApron Pkts , YORK , Blk WhtStrp BibApron Pkts , XL , XS-XL , BLACK , Black , Colors","Blk/WhtStrp BibApron Pkts","YORKBrand|0 - 10Price|Activewear TG7Category|BlackColor","YORKBrand|10Price|ACategory|BlackColor","YORK","003203/ BLACK XL","4.86","[{""color"":""BLACK"",""family"":""BLACK"",""swatch_hex"":""#0008"",""swatch"":""https://devwam.fdm4.com//fdm4dev2.fdm4.com/prodimg/swatch/003203RD.jpg"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/003203RD_3.jpg"",""price"":5.59}]","XL","","0","","","4.86","Black"
"0070","0070","https://devwam.fdm4.com/B2C/product/0070/PINSTRIPE-SPORT-SHIRT.html","15.99|16.99|17.99","15.99|16.99|17.99","https://devwam.fdm4.com/prodimg/large/0070.png","0070  070  70  0 , PINSTRIPE SPORT SHIRT , Product Category 4 , IZOD , S , M , L , XL , 2XL , 3XL , S to XL , S to XL , S to XL , S to XL , 6 , 10 , BLACK , Black , FALL FOREST GREEN , MIDNIGHT NAVY , OYSTER SHELL , LIGHTS","pure 100% cotton","IZODBrand|0 - 10Price|BlackColor|Product Category 4Category","IBrand|10Price|BlackColor|PC4Category","IZOD","0070 BLACK S|0070 BLACK M|0070 BLACK L|0070 BLACK XL|0070 BLACK XXL|0070 BLACK 3XL|0070 FALL FOREST S|0070 FALL FOREST M|0070 FALL FOREST L|0070 FALL FOREST XL|0070 FALL FOREST XXL|0070 FALL FOREST 3XL|0070 MIDNIGHT NAVY S|0070 MIDNIGHT NAVY M|0070 MIDNIGHT NAVY L|0070 MIDNIGHT NAVY XL|0070 MIDNIGHT NAVY XXL|0070 MIDNIGHT NAVY 3XL|0070 OYSTER SHELL  S|0070 OYSTER SHELL  M|0070 OYSTER SHELL L|0070 OYSTER SHELL  XL|0070 OYSTER SHELL XXL|0070 OYSTER SHELL 3XL","15.99|16.99|17.99","[{""color"":""BLACK"",""family"":""Black"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0070.png"",""price"":0},{""color"":""FALL FOREST GREEN"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0070.png"",""price"":0},{""color"":""MIDNIGHT NAVY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0070MT_112019090555.png"",""price"":0},{""color"":""OYSTER SHELL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0070.png"",""price"":0}]","S|M|L|XL|2XL|3XL","","0","","","15.99|16.99|17.99","Black"
"0073","0073","https://devwam.fdm4.com/B2C/product/0073/SHORT-SLEEVE-CREW.html","14.69|15.69","14.69|15.69","","0073  073  73  3 , SHORT SLEEVE CREW , Product Category 4 , IZOD , BLACK/FLINT GREY , BLACK , Black , INBOARD BLUE , RED SEAT , SILVER , test w/ slash , No Color","","IZODBrand|0 - 10Price|BlackColor|Product Category 4Category","IBrand|10Price|BlackColor|PC4Category","IZOD","0073 BLACK S|0073 BLACK M|0073 BLACK L|0073 BLACK  XL|0073 BLACK  XXL|0073 INBOARD BLUE S|0073 INBOARD BLUE M|0073 INBOARD BLUE L|0073 INBOARD BLUE XL|0073 INBOARD BLUE XXL|0073 RED SEAT S|0073 RED SEAT M|0073 RED SEAT L|0073 RED SEAT XL|0073 RED SEAT XXL|0073 SIRUS SILVER S|0073 SIRUS SILVER M|0073 SIRUS SILVER L|0073 SIRUS SILVER XL|0073 SIRUS SILVER XXL","14.69|15.69","[{""color"":""BLACK/FLINT GREY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0073B/GY_2.jpg"",""price"":0},{""color"":""BLACK"",""family"":""Black"",""price"":0},{""color"":""INBOARD BLUE"",""family"":"""",""price"":0},{""color"":""RED SEAT"",""family"":"""",""price"":0},{""color"":""SILVER"",""family"":"""",""price"":0},{""color"":""test w/ slash"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/0073test.jpg"",""price"":0}]","","","0","","","14.69|15.69","Black"
"0074","0074","https://devwam.fdm4.com/B2C/product/0074/LONG-SLEEVE-ZIP-MOCK.html","16.69|17.69","16.69|17.69","","0074  074  74  4 , LONG SLEEVE ZIP MOCK , Product Category 4 , IZOD , S , M , L , XL , 2XL , S to XL , S to XL , S to XL , S to XL , 6 , BLACK , Black , INBOARD BLUE , RED SEAT , DARKS","","IZODBrand|0 - 10Price|BlackColor|Product Category 4Category","IBrand|10Price|BlackColor|PC4Category","IZOD","0074 BLACK S|0074 BLACK M|0074 BLACK L|0074 BLACK  XL|0074 BLACK  XXL|0074 IN BOARD BLUE S|0074 IN BOARD BLUE M|0074 IN BOARD BLUE L|0074 IN BOARD BLUE XL|0074 IN BOARD BLUE XXL|0074 RED SEAT S|0074 RED SEAT M|0074 RED SEAT L|0074 RED SEAT XL|0074 RED SEAT XXL","16.69|17.69","[{""color"":""BLACK"",""family"":""Black"",""price"":8.4},{""color"":""INBOARD BLUE"",""family"":"""",""price"":8.4},{""color"":""RED SEAT"",""family"":"""",""price"":8.4}]","S|M|L|XL|2XL","","0","","","16.69|17.69","Black"
"0128","0128","https://devwam.fdm4.com/B2C/product/0128/TRIAX-SPEED-50-Regular-Watch.html","34.99|36.99","34.99|36.99","","0128  128  28  8 , TRIAX SPEED 50 Regular Watch , Product Category 4 , NIKE , 50 lap watch with smaller face  , Features: 50-lap chronograph, 100m water resistance, Convertible display, Data mode, Five-segment interval timer, stainless-steel buckle and back plate, target time, time, date, 2 alarms, 2 time zones, S-shape design curves around wrist  , Color - Black Light Graphite  <table><tr><td>Available Sizes:< td><td>One Size Fits Most< td>< tr>< table> Also available:<font color=Maroon>Womens TRIAX MIA Watch style 0104< a> TRIAX SPEED 50 Super Watch style 0129< a> <font color=Maroon><center><b>This item is not available for online ordering Please call for additional information< b>< center>< font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , watch , watches ""> , OSFA , One Size , Black/Light Graphite , Black , DARKS","<ul><br> <li>50 lap watch with smaller face<br> <li> Features: 50-lap chronograph, 100m water resistance, Convertible display, Data mode, Five-segment interval timer, stainless-steel buckle and back plate, target time, time, date, 2 alarms, 2 time zones, S-shape design curves around wrist.<br> <li> Color - Black/Light Graphite </ul><br> <table><tr><td>Available Sizes:</td><td>One Size Fits Most</td></tr></table> <br>Also available:<br><font color=Maroon>Womens TRIAX MIA Watch style 0104</a><br> TRIAX SPEED 50 Super Watch style 0129</a><br> <br><font color=Maroon><center><b>This item is not available for online ordering. <br> Please call for additional information.</b></center></font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , watch , watches "">","NIKEBrand|0 - 10Price|BlackColor|Product Category 4Category","EBrand|10Price|BlackColor|PC4Category","NIKE","0128 BLACK OSFA|0128 GO OSFA","34.99|36.99","[{""color"":""Black/Light Graphite"",""family"":""Black"",""swatch_hex"":""#111111,94999F"",""price"":0}]","OSFA","","0","","","34.99|36.99","Black"
"0129","0129","https://devwam.fdm4.com/B2C/product/0129/TRIAX-SPEED-50-Super-Watch.html","34.99|36.99","34.99|36.99","","0129  129  29  9 , TRIAX SPEED 50 Super Watch , Product Category 2 , NIKE , 50 lap watch with larger sized face  , Features: 50-lap chronograph, 100m water resistance, Convertible display, Data mode, Five-segment interval timer, stainless-steel buckle and back plate, target time, time, date, 2 alarms, 2 time zones, S-shape design curves around wrist  , Color - Black Black  <table><tr><td>Available Sizes:< td><td>One Size Fits Most< td>< tr>< table> Also available:<font color=Maroon>Womens TRIAX MIA Watch style 0104< a> TRIAX SPEED 50 Regular Watch style 0128< a> <font color=Maroon><center><b>This item is not available for online ordering Please call for additional information< b>< center>< font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , watch , watches ""> , OSFA , One Size , BLACK , Black , DARKS","<ul><br> <li>50 lap watch with larger sized face<br> <li> Features: 50-lap chronograph, 100m water resistance, Convertible display, Data mode, Five-segment interval timer, stainless-steel buckle and back plate, target time, time, date, 2 alarms, 2 time zones, S-shape design curves around wrist.<br> <li> Color - Black/Black </ul><br> <table><tr><td>Available Sizes:</td><td>One Size Fits Most</td></tr></table> <br>Also available:<br><font color=Maroon>Womens TRIAX MIA Watch style 0104</a><br> TRIAX SPEED 50 Regular Watch style 0128</a><br> <br><font color=Maroon><center><b>This item is not available for online ordering. <br> Please call for additional information.</b></center></font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , watch , watches "">","NIKEBrand|0 - 10Price|BlackColor|Product Category 2Category","EBrand|10Price|BlackColor|PC2Category","NIKE","0129 BLACK OSFA|0129 GO OSFA","34.99|36.99","[{""color"":""BLACK"",""family"":""Black"",""swatch_hex"":""#111111"",""price"":0}]","OSFA","","0","","","34.99|36.99","Black"
"0312","0312","https://devwam.fdm4.com/B2C/product/0312/Mens-HAUL-Sunglasses.html","89.99","89.99","","0312  312  12  2 , Mens HAUL Sunglasses , Product Category 4 , NIKE , Unique metal detailing on frame  , Interchange lens system lets you quickly replace len tints to match any condition  , Max Polarized lenses reduce eye strain by virtually eliminating the glare from light that reflect off water and pavement  , Secure-Wrap temples grip back of the head for stability and comfort   , Ventilated nose bridge improves airflow, reduced fogging and provides better grip   , Lens Colors - El Dorado Brown Max and Orange  <table><tr><td>Available Sizes:< td><td>One Size Fits Most< td>< tr>< table> Also available:<font color=Maroon>Mens Skylon Sunglasses style 0109< a> Womens Revive Sunglasses style 0267< a> <font color=Maroon><center><b>This item is not available for online ordering Please call for additional information< b>< center>< font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , sunglasses , shades ""> , OSFA , One Size , CLASSIC BROWN , DARKS","<ul><br> <li>Unique metal detailing on frame<br> <li> Interchange lens system lets you quickly replace len tints to match any condition<br> <li> Max Polarized lenses reduce eye strain by virtually eliminating the glare from light that reflect off water and pavement<br> <li> Secure-Wrap temples grip back of the head for stability and comfort <br> <li> Ventilated nose bridge improves airflow, reduced fogging and provides better grip <br> <li> Lens Colors - El Dorado/Brown Max and Orange </ul><br> <table><tr><td>Available Sizes:</td><td>One Size Fits Most</td></tr></table> <br>Also available:<br><font color=Maroon>Mens Skylon Sunglasses style 0109</a><br> Womens Revive Sunglasses style 0267</a><br> <br><font color=Maroon><center><b>This item is not available for online ordering. <br> Please call for additional information.</b></center></font> <input type='hidden' name=""searchvalues"" value="" nike , mens , men , mans , sunglasses , shades "">","NIKEBrand|0 - 10Price|Product Category 4Category","EBrand|10Price|PC4Category","NIKE","0312 CLASSIC BROWN OSFA","89.99","[{""color"":""CLASSIC BROWN"",""family"":"""",""swatch_hex"":""#422A24"",""price"":0}]","OSFA","","0","","","89.99",""
"0758","0758","https://devwam.fdm4.com/B2C/product/0758/Dri-Fit-Tennis-Qtr.html","4","4","","0758  758  58  8 , Dri-Fit Tennis Qtr , Active Wear , NIKE , WHITE , White , NEUTRALS","","NIKEBrand|0 - 10Price|Active WearCategory|WhiteColor","EBrand|10Price|ActiveCategory|WhiteColor","NIKE","0758 WHITE OSFA","4","[{""color"":""WHITE"",""family"":""White"",""price"":0}]","","","0","","","4","White"
"090","090","https://devwam.fdm4.com/B2C/product/090/Nike-Knee-Sleeve.html","7.5","7.5","","090  90  0 , Nike Knee Sleeve , Product Category 4 , NIKE , L , XL , S to XL , S to XL , BLACK , Black , DARKS","","NIKEBrand|0 - 10Price|BlackColor|Product Category 4Category","EBrand|10Price|BlackColor|PC4Category","NIKE","090 BLACK L|090 BLACK XL","7.5","[{""color"":""BLACK"",""family"":""Black"",""price"":0}]","L|XL","","0","","","7.5","Black"
"1","1","https://devwam.fdm4.com/B2C/product/1/clothes.html","5","5","https://devwam.fdm4.com/prodimg/large/1.jpg","1 , clothes , bmg , S , M , L , XL , 2XL , 3XL , 4XL , 5XL , S to XL , S to XL , S to XL , S to XL , S to XL , S to XL , S to XL , S to XL , AQUATIC BLUE , AQUAMARINE , ASH , BLACK , BLUESTONE , CHARCOAL HEATHER , CARDINAL , CALIFORNIA LIME , COPPER , CYPRESS , DAFFODIL , DEEP FOREST GREEN , DENIM , DEEP NAVY , DEEP ROYAL , DEEP RED , ECRU , EGGPLANT , ER , ESPRESSO , FOREST GREEN , FL , FN , GOLD , GOLD NUGGET , GRAPHITE , GREY , HONEY , INDIGO , JADE , KELLY , LIGHT BLUE , LEAF , LIME , LAVENDER , FRESH MINT , MOSS , MAROON , NF , NATURAL , NAVY , OATMEAL , ORANGE , ORANGE SHERBET , PEACOCK , PEBBLE , PALE PINK , PAPRIKA , DEEP PLUM , PINE , PURPLE , PINK , RASPBERRY , ROYAL , RED , RF , RED OAK , SAND , SKY , STONEWASH BLUE , STONEWASH GREEN , LIGHT STEEL , TEAL , TROPICAL PINK , WATERMELON , WHITE , WL , YELLOW , DARKS","","bmgBrand|0 - 10Price|ClothesCategory","bmgBrand|10Price|ClothesCategory","bmg","clothesASHXL|necklace","5","[{""color"":""AQUATIC BLUE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""AQUAMARINE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ASH"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""BLACK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""BLUESTONE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""CHARCOAL HEATHER"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""CARDINAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""CALIFORNIA LIME"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""COPPER"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""CYPRESS"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DAFFODIL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DEEP FOREST GREEN"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DENIM"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DEEP NAVY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DEEP ROYAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DEEP RED"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ECRU"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""EGGPLANT"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ER"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ESPRESSO"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""FOREST GREEN"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""FL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""FN"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""GOLD"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""GOLD NUGGET"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""GRAPHITE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""GREY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""HONEY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""INDIGO"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""JADE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""KELLY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""LIGHT BLUE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""LEAF"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""LIME"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""LAVENDER"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""FRESH MINT"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""MOSS"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""MAROON"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""NF"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""NATURAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""NAVY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""OATMEAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ORANGE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ORANGE SHERBET"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PEACOCK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PEBBLE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PALE PINK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PAPRIKA"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""DEEP PLUM"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PINE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PURPLE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""PINK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""RASPBERRY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""ROYAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""RED"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""RF"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""RED OAK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""SAND"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""SKY"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""STONEWASH BLUE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""STONEWASH GREEN"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""LIGHT STEEL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""TEAL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""TROPICAL PINK"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""WATERMELON"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""WHITE"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""WL"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0},{""color"":""YELLOW"",""family"":"""",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1_sm.jpg"",""price"":0}]","XL|S","","0","","","5",""
"1007BLK","1007BLK","https://devwam.fdm4.com/B2C/product/1007BLK/PAOLA-HOBO-BLACK.html","311","311","https://devwam.fdm4.com/prodimg/large/1007BLK.jpg","1007BLK  007BLK  07BLK  7BLK , PAOLA HOBO BLACK , Handbags , Vince Camuto , For the girl about town, there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure , 1 Size , ALL Sizes , BLACK , Black","For the girl about town, there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure. ","Vince CamutoBrand|HandbagsCategory","VCBrand|FV200Category","Vince Camuto","1007BLK LEAT BLACK 1 Size","311","[{""color"":""BLACK"",""family"":"""",""swatch"":""https://devwam.fdm4.com//fdm4dev2.fdm4.com/prodimg/swatch/1007BLK17001.jpg"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1007BLK17001.jpg"",""price"":311}]","1 Size","","0","","","311",""
"1007COG","1007COG","https://devwam.fdm4.com/B2C/product/1007COG/PAOLA-HOBO-COGNAC.html","298","298","https://devwam.fdm4.com/prodimg/large/1007COG.jpg","1007COG  007COG  07COG  7COG , PAOLA HOBO COGNAC , Handbags , Vince Camuto , For the girl about town, there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure , 1 Size , ALL Sizes , COGNAC , Browns","For the girl about town, there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure.  ","Vince CamutoBrand|HandbagsCategory","VCBrand|FV200Category","Vince Camuto","1007COG LEAT COGNAC 1 Size","298","[{""color"":""COGNAC"",""family"":"""",""swatch"":""https://devwam.fdm4.com//fdm4dev2.fdm4.com/prodimg/swatch/1007COG17240.jpg"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1007COG17240.jpg"",""price"":298}]","1 Size","","0","","","298",""
"1007GRY","1007GRY","https://devwam.fdm4.com/B2C/product/1007GRY/PAOLA-HOBO-GREY.html","298","298","https://devwam.fdm4.com/prodimg/large/1007GRY.jpg","1007GRY  007GRY  07GRY  7GRY , PAOLA HOBO GREY , Handbags , Vince Camuto , For the girl about town, there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure , 1 Size , ALL Sizes , GREY , Grey","For the girl about town, there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather, this slouchy, hold-everything bag has a gold chain drawstring at the top, a VC logo crest accessory, and a snap closure.  ","Vince CamutoBrand|HandbagsCategory","VCBrand|FV200Category","Vince Camuto","1007GRY LEAT GREY 1 Size","298","[{""color"":""GREY"",""family"":"""",""swatch"":""https://devwam.fdm4.com//fdm4dev2.fdm4.com/prodimg/swatch/1007GRY17061.jpg"",""thumbnail"":""https://devwam.fdm4.com/prodimg/small/1007GRY17061.jpg"",""price"":298}]","1 Size","","0","","","298",""
