Product ID,SKU,Name,Product URL,Price,Thumbnail URL,Search Keywords,Description,Category,Brand,Color,Color|Family,Size,Season,Inventory+Count,Faset|attributes
001501/,001501/,Red Bib Apron w Card Pkt,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=001501/&color=RD,4.26,https://devbr4wam.fdm4.com/prodimg/thumb/001501_3.jpg,001501/   Red Bib Apron w Card Pkt   YORK   Red Bib Apron w Card Pkt   L   XS-XL   RED   Red   Colors,Red Bib Apron w Card Pkt,Brand/YORK | Category/Activewear TG7,YORK,RED,Colors,L,,0,Brand|Category
27,27,IZOD XFG Wicking Sport Shirt,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=0027&color=WL,10.5,https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/0027_th.jpg,0027   IZOD XFG Wicking Sport Shirt   Product Category 2   IZOD   <h1>This is a catlaog description with HTML< h1>And here is some long content to test and see if it gets cutoffyup I changed to lets test some more   M   L   XL   2XL   3XL   S   4XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   XS-XL   BEACHSIDE BLUE   BLACK   Black   GREENSTONE   STONE DUST   WHITE   White   PINK   DEEP RED   ECRU   EGGPLANT   ER   ESPRESSO   FOREST GREEN   FL   FN   GOLD   GOLD NUGGET   GRAPHITE   GREY   HONEY   INDIGO   JADE   KELLY   LIGHT BLUE   LEAF   LIME   LAVENDER   FRESH MINT   MOSS   MAROON   NATURAL   NAVY   OATMEAL   ORANGE   ORANGE SHERBET   PEACOCK   PEBBLE   PALE PINK   PAPRIKA   DEEP PLUM   PINE   PURPLE   PINK   RASPBERRY   ROYAL   RF   RED OAK   SAND   SKY   STONEWASH BLUE   STONEWASH GREEN   LIGHT STEEL   TEAL   TROPICAL PINK   WATERMELON   WL   YELLOW   DEEP ROYAL   AQUATIC BLUE   AQUAMARINE   ASH   BLUESTONE   CHARCOAL HEATHER   CARDINAL   CALIFORNIA LIME   COPPER   CYPRESS   DAFFODIL   DEEP FOREST GREEN   DENIM   DEEP NAVY   NATURAL FIELD   DARKS,"<h1>This is a catlaog description with HTML</h1>

<p>And here is some long content to test and see if it gets cutoff...yup I changed to lets test some more</p>
",Brand/IZOD | Category/Product Category 2,IZOD ,ASH|BEACHSIDE BLUE|BLACK|BLUESTONE|GREENSTONE|PINE|PINK|STONE DUST|WHITE|WL,LIGHTS|DARKS|NEUTRALS|MISC,S|M|L|XL|2XL|3XL|4XL,SPRING,20375,Brand|Category
28,28,IZOD Mens GraphCheckSportShirt,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=0028&color=GN,20.49,https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png | https://devbr4wam.fdm4.com/prodimg/thumb/0028.png,0028   IZOD Mens GraphCheckSportShirt   Tees   Gildan   M   L   XL   2XL   3XL   S to XL   S to XL   S to XL   2XL-TTM   3XL-TTM   BLUE SMOKE   Blue   SOFT GREEN   Green   DARKS,,Brand/Gildan | Category/Tees | Sale/closeout,Gildan ,BLUE|SMOKE|BLUE|SMOKE|BLUE|SMOKE|BLUE|SMOKE|BLUE|SMOKE|BLUE|SMOKE|SOFT|GREEN|SOFT|GREEN|SOFT|GREEN|SOFT|GREEN|SOFT|GREEN|SOFT|GREEN,DARKS,M|L|XL|2XL|3XL,,17274,Brand|Category|Sale
046TAU,046TAU,CHAIN SYSTEM ZIP TOTE TAUPE,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=046TAU&color=17270,280,https://devbr4wam.fdm4.com/prodimg/thumb/046TAU.jpg,046TAU   CHAIN SYSTEM ZIP TOTE TAUPE   Handbags   Vince Camuto   Take it all with you in a Vince Camuto oversized tote This impressive chain detailed bag has a removable strap that allows you to wear it as a shoulder or messenger bag  With its edgy details  sublime leather and grand shape this downtown bag has plenty of attitude and room to match   Actual dimensions are 17 1 2 inches wide by 15 1 2 inches high by 5 3 4 inches deep   Shoulder drop is 9 inches with a 17 inch removable strap   1 Size   ALL Sizes   Taupe   Ltbeige,"Take it all with you in a Vince Camuto oversized tote. This impressive chain detailed bag has a removable strap that allows you to wear it as a shoulder or messenger bag.  With its edgy details  sublime leather and grand shape this downtown bag has plenty of attitude and room to match.<ul><li>Actual dimensions are 17 1/2 inches wide by 15 1/2 inches high by 5 3/4 inches deep</li><li>Shoulder drop is 9 inches with a 17 inch removable strap</li></ul><br>
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,Taupe,Ltbeige,1 Size,S10,161,Brand|Category
1,1,clothes,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1&color=BK,5,https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1_th.jpg,1   clothes   bmg   S   M   L   XL   2XL   3XL   4XL   5XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   S to XL   AQUATIC BLUE   AQUAMARINE   ASH   BLACK   BLUESTONE   CHARCOAL HEATHER   CARDINAL   CALIFORNIA LIME   COPPER   CYPRESS   DAFFODIL   DEEP FOREST GREEN   DENIM   DEEP NAVY   DEEP ROYAL   DEEP RED   ECRU   EGGPLANT   ER   ESPRESSO   FOREST GREEN   FL   FN   GOLD   GOLD NUGGET   GRAPHITE   GREY   HONEY   INDIGO   JADE   KELLY   LIGHT BLUE   LEAF   LIME   LAVENDER   FRESH MINT   MOSS   MAROON   NF   NATURAL   NAVY   OATMEAL   ORANGE   ORANGE SHERBET   PEACOCK   PEBBLE   PALE PINK   PAPRIKA   DEEP PLUM   PINE   PURPLE   PINK   RASPBERRY   ROYAL   RED   RF   RED OAK   SAND   SKY   STONEWASH BLUE   STONEWASH GREEN   LIGHT STEEL   TEAL   TROPICAL PINK   WATERMELON   WHITE   WL   YELLOW   DARKS,,Brand/bmg | Category/Clothes,bmg ,ASH|BLACK,LIGHTS|DARKS,XL|S,,0,Brand|Category
1001GRY,1001GRY,JACKIE HOBO GREY,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1001GRY&color=17061,298,https://devbr4wam.fdm4.com/prodimg/thumb/1001GRY.jpg,1001GRY   JACKIE HOBO GREY   Handbags   Vince Camuto   We love this luxe spin on an iconic handbag shape from Vince Camuto The Jackie Hobo has a slouchy  worn-in feel and is adorned with a double zipper across the top and industrial metal accents at the handle   1 Size   ALL Sizes   GREY   Grey,"We love this luxe spin on an iconic handbag shape from Vince Camuto. The Jackie Hobo has a slouchy  worn-in feel and is adorned with a double zipper across the top and industrial metal  accents at the handle.
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,GREY,Grey,1 Size,,864,Brand|Category
1002BLK,1002BLK,JACKIE SATCHEL BLACK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1002BLK&color=17001,298,https://devbr4wam.fdm4.com/prodimg/thumb/1002BLK.jpg,1002BLK   JACKIE SATCHEL BLACK   Handbags   Vince Camuto   Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto The slouchy tote shape in the softest leather has a boxy silhouette with geometric gold forms at the handles and a VC logo crest at the front Double zipper closure 1625 inch width  135 inch height  5 inch diameter   1 Size   ALL Sizes   BLACK   Black,"Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto. The slouchy tote shape in the softest leather has a boxy silhouette with geometric gold forms at the handles and a VC logo crest at the front. Double zipper closure. 16.25 inch width  13.5 inch height  5 inch diameter. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,,108,Brand|Category
1002GRY,1002GRY,JACKIE SATCHEL GREY,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1002GRY&color=17061,298,https://devbr4wam.fdm4.com/prodimg/thumb/1002GRY.jpg,1002GRY   JACKIE SATCHEL GREY   Handbags   Vince Camuto   Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto The slouchy tote shape in the softest leather has a boxy silhouette with geometric gold forms at the handles and a VC logo crest at the front Double zipper closure 1625 inch width  135 inch height  5 inch diameter   1 Size   ALL Sizes   GREY   Grey,"Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto. The slouchy tote shape in the softest leather has a boxy silhouette with geometric gold forms at the handles and a VC logo crest at the front. Double zipper closure. 16.25 inch width  13.5 inch height  5 inch diameter. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,GREY,Grey,1 Size,,1027,Brand|Category
1007BLK,1007BLK,PAOLA HOBO BLACK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1007BLK&color=17001,311,https://devbr4wam.fdm4.com/prodimg/thumb/1007BLK.jpg,1007BLK   PAOLA HOBO BLACK   Handbags   Vince Camuto   For the girl about town  there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure   1 Size   ALL Sizes   BLACK   Black,For the girl about town  there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure. ,Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,,1076,Brand|Category
1007COG,1007COG,PAOLA HOBO COGNAC,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1007COG&color=17240,298,https://devbr4wam.fdm4.com/prodimg/thumb/1007COG.jpg,1007COG   PAOLA HOBO COGNAC   Handbags   Vince Camuto   For the girl about town  there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure   1 Size   ALL Sizes   COGNAC   Browns,"For the girl about town  there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,COGNAC,Browns,1 Size,,1546,Brand|Category
1007GRY,1007GRY,PAOLA HOBO GREY,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1007GRY&color=17061,298,https://devbr4wam.fdm4.com/prodimg/thumb/1007GRY.jpg,1007GRY   PAOLA HOBO GREY   Handbags   Vince Camuto   For the girl about town  there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure   1 Size   ALL Sizes   GREY   Grey,"For the girl about town  there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,GREY,Grey,1 Size,,1230,Brand|Category
1007TPE,1007TPE,PAOLA HOBO TAUPE,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1007TPE&color=17245,298,https://devbr4wam.fdm4.com/prodimg/thumb/1007TPE.jpg,1007TPE   PAOLA HOBO TAUPE   Handbags   Vince Camuto   For the girl about town  there is no better bag than this slouchy tote from Vince Camuto In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure   1 Size   ALL Sizes   TAUPE   Tan,"For the girl about town  there is no better bag than this slouchy tote from Vince Camuto.  In ultra luxe leather  this slouchy  hold-everything bag has a gold chain drawstring at the top  a VC logo crest accessory  and a snap closure. 
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,TAUPE,Tan,1 Size,,1358,Brand|Category
1008BLK,1008BLK,SYDNEY SATCHEL BLACK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1008BLK&color=AS001,298,https://devbr4wam.fdm4.com/prodimg/thumb/1008BLK.jpg,1008BLK   SYDNEY SATCHEL BLACK   Handbags   Vince Camuto   Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front Detachable leather and chain shoulder strap 1625 inch width  135 inch height  5 inch diameter   1 Size   ALL Sizes   BLACK   Black,Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto. The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front. Detachable leather and chain shoulder strap. 16.25 inch width  13.5 inch height  5 inch diameter.,Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,,1195,Brand|Category
1008COG,1008COG,SYDNEY SATCHEL GREY,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1008COG&color=AS061,298,https://devbr4wam.fdm4.com/prodimg/thumb/1008COG.jpg,1008COG   SYDNEY SATCHEL GREY   Handbags   Vince Camuto   Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front Detachable leather and chain shoulder strap 1625 inch width  135 inch height  5 inch diameter   1 Size   ALL Sizes   GREY   Grey,Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto. The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front. Detachable leather and chain shoulder strap. 16.25 inch width  13.5 inch height  5 inch diameter.,Brand/Vince Camuto | Category/Handbags,Vince Camuto,GREY,Grey,1 Size,,1818,Brand|Category
1008GRY,1008GRY,SYDNEY SATCHEL COGNAC,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1008GRY&color=AS240,298,https://devbr4wam.fdm4.com/prodimg/thumb/1008GRY.jpg,1008GRY   SYDNEY SATCHEL COGNAC   Handbags   Vince Camuto   Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front Detachable leather and chain shoulder strap 1625 inch width  135 inch height  5 inch diameter   1 Size   ALL Sizes   COGNAC   Browns,"Radiate a clean  cool sense of confidence with this striking handbag from Vince Camuto. The slouchy tote shape in the softest leather has a boxy silhouette with simple gold metal rings at the handles and a VC logo crest at the front. Detachable leather and chain shoulder strap. 16.25 inch width  13.5 inch height  5 inch diameter.
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,COGNAC,Browns,1 Size,,1133,Brand|Category
1010BLK,1010BLK,SYDNEY CROSSBODY BLACK Shoulde,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1010BLK&color=AS001,278,https://devbr4wam.fdm4.com/prodimg/thumb/1010BLK.jpg,1010BLK   SYDNEY CROSSBODY BLACK Shoulde   Handbags   Vince Camuto   In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette   1 Size   ALL Sizes   BLACK   Black,"In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential. We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette.
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,BLACK,Black,1 Size,,441,Brand|Category
1010COG,1010COG,SYDNEY CROSSBODY COGNAC,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1010COG&color=AS240,278,https://devbr4wam.fdm4.com/prodimg/thumb/1010COG.jpg,1010COG   SYDNEY CROSSBODY COGNAC   Handbags   Vince Camuto   In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette   1 Size   ALL Sizes   COGNAC   Browns,"In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential. We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette.
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,COGNAC,Browns,1 Size,,552,Brand|Category
1010GRY,1010GRY,SYDNEY CROSSBODY GREY Shoulder,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1010GRY&color=AS061,278,https://devbr4wam.fdm4.com/prodimg/thumb/1010GRY.jpg,1010GRY   SYDNEY CROSSBODY GREY Shoulder   Handbags   Vince Camuto   In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette   1 Size   ALL Sizes   GREY   Grey,"In high-gloss cracked leather  this Vince Camuto crossbody is an every day essential. We love the iconic  equestrian detailing of the horsebit handle paired with the hold-it-all hobo silhouette.
",Brand/Vince Camuto | Category/Handbags,Vince Camuto,GREY,Grey,1 Size,,1684,Brand|Category
1011,1011,BELLA RIB SPAG TANK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1011&color=BLUERED,0,https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png | https://devbr4wam.fdm4.com/prodimg/thumb/1011_front_021119093546.png,1011   BELLA RIB SPAG TANK   Athletic Wear   BELLA   58 oz  100% cotton  30 single combed ring-spun super soft 1x1 baby rib knit A classic Bella fit tank top with self binding on straps and around the armhole Always one of our best sellers!   Bella   137085   Multiple Sizes   Regular   499167   Basic Tee   S   M   L   XL   2XL   3XL   XS-XL   XS-XL   XS-XL   XS-XL   2XL   3XL   WHITE   White   PINK   Pink   BLACK   Black   BABY BLUE   spider   赤   Red   NAVY   Blue   Mix,5.8 oz.  100% cotton  30 single combed ring-spun super soft 1x1 baby rib knit. A classic Bella fit tank top with self binding on straps and around the armhole. Always one of our best sellers!,Brand/BELLA | Category/Athletic Wear | Sale/sale,BELLA ,WHITE|PINK|BLACK|BABY BLUE|NAVY,WHITES|All Colors|Mix,S|M|L|XL|2XL|3XL,YEAR ROUND,439163,Brand|Category|Sale
1011APRIL,1011APRIL,BELLA RIB SPAG TANK,https://devbr4wam.fdm4.com/cgi-bin/br4wamw//wam_tmpl/catalog_product.p?site=BR4_B2C&layout=BaseB2C&page=catalog_product&product=1011APRIL&color=33,25.24,https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg | https://devbr4wam.fdm4.com/prodimg/thumb/1011april_th.jpg,1011APRIL   BELLA RIB SPAG TANK   Athletic Wear   BELLA   BELLA RIB SPAG TANK   S   M   L   XL   2XL   3XL   XS-XL   XS-XL   XS-XL   XS-XL   2XL   3XL   NAVY   Blue   Black   Black   All Colors,BELLA RIB SPAG TANK,Brand/BELLA | Category/Athletic Wear,BELLA ,Black|NAVY,All Colors,S|M|L|XL|2XL|3XL,,43200,Brand|Category
